kaynak,altin_adi,alis_fiyati,satis_fiyati,gunluk_degisim_yuzde,guncellenme_tarihi
Kapalı Çarşı,Gram Altın,7216.874,7217.753,-1.62,2026-03-12T19:22:00.659Z
Kapalı Çarşı,Çeyrek Altın,11762.72,12039.96,-0.52,2026-03-12T13:36:58.140Z
Kapalı Çarşı,Cumhuriyet Altını,48806.0,49543.0,-0.48,2026-03-12T13:37:24.026Z
Kapalı Çarşı,Ata Altın,48521.24,49779.88,-0.52,2026-03-12T13:36:58.140Z
Kapalı Çarşı,14 Ayar Bilezik,4190.47,4197.42,-0.52,2026-03-12T13:36:58.140Z
Kapalı Çarşı,18 Ayar Bilezik,5366.74,5375.64,-0.52,2026-03-12T13:36:58.140Z
Kapalı Çarşı,22 Ayar Bilezik,6704.75,6715.86,-0.52,2026-03-12T13:36:58.140Z
Kapalı Çarşı,Yarım Altın,23451.93,24079.91,-0.52,2026-03-12T13:36:58.140Z
Kapalı Çarşı,Gram Altın (Serb.),7351.703,7363.887,-0.52,2026-03-12T13:36:58.140Z
