kaynak,altin_adi,alis_fiyati,satis_fiyati,gunluk_degisim_yuzde,guncellenme_tarihi
Kapalı Çarşı,Gram Altın,6295.734,6296.603,0.3,2026-03-24T09:40:01.091Z
Kapalı Çarşı,Çeyrek Altın,10649.65,10916.89,-1.14,2026-03-24T09:39:39.016Z
Kapalı Çarşı,Yarım Altın,21232.74,21833.77,-1.14,2026-03-24T09:39:39.016Z
Kapalı Çarşı,Cumhuriyet Altını,44127.0,44790.0,-0.56,2026-03-24T09:16:19.037Z
ENUYGUN Finans,Altın (Ons/USD),4362.955233853007,4359.087208008898,,
