kaynak,doviz_adi,alis_fiyati,satis_fiyati,gunluk_degisim_yuzde,gunluk_degisim_tutari,guncellenme_tarihi
Kapalı Çarşı,Dolar,44.9,44.95,0.0,0.0,2026-03-24T09:37:28.213Z
Kapalı Çarşı,Euro,51.9,51.95,0.0,0.0,2026-03-24T09:36:33.133Z
Kapalı Çarşı,Sterlin,59.9885,60.2892,-0.34,-0.20568260084286294,2026-03-24T09:38:07.149Z
Kapalı Çarşı,İsviçre Frangı,56.952,57.2375,-0.06,-0.034363117870725546,2026-03-24T09:38:01.410Z
Kapalı Çarşı,Japon Yeni,28.2365,28.378,-0.16,-0.04547756410256554,2026-03-24T09:37:59.825Z
Kapalı Çarşı,Suudi Arabistan Riyali,11.9372,11.997,0.0,0.0,2026-03-24T09:33:01.494Z
Kapalı Çarşı,BAE Dirhemi,12.2022,12.2634,0.02,0.002452189562086815,2026-03-24T09:21:11.616Z
Kapalı Çarşı,Katar Riyali,12.2852,12.3468,-0.1,-0.01235915915915875,2026-03-24T09:21:11.616Z
Kapalı Çarşı,Kuveyt Dinarı,146.1553,146.8879,-0.05,-0.07348069034517835,2026-03-24T09:24:14.358Z
Kapalı Çarşı,Gürcistan Larisi,16.5056,16.5883,0.0,0.0,2026-03-24T09:21:11.617Z
