kaynak,altin_adi,alis_fiyati,satis_fiyati,gunluk_degisim_yuzde,guncellenme_tarihi
Kapalı Çarşı,Gram Altın,6276.761,6277.887,0.0,2026-03-23T21:03:51.153Z
Kapalı Çarşı,Çeyrek Altın,10757.95,11042.45,0.0,2026-03-23T14:05:38.531Z
Kapalı Çarşı,Yarım Altın,21448.66,22084.91,0.0,2026-03-23T14:05:38.531Z
Kapalı Çarşı,Cumhuriyet Altını,44397.0,45042.0,-4.35,2026-03-23T14:12:46.196Z
ENUYGUN Finans,Altın (Ons/USD),4346.261469933185,4345.684983314794,,
