kaynak,doviz_adi,alis_fiyati,satis_fiyati,gunluk_degisim_yuzde,gunluk_degisim_tutari,guncellenme_tarihi
Kapalı Çarşı,Dolar,44.9,44.95,0.49,0.21918101303612048,2026-03-23T14:00:19.182Z
Kapalı Çarşı,Euro,51.9,51.95,1.37,0.7020962809509754,2026-03-23T14:00:19.876Z
Kapalı Çarşı,Sterlin,60.1902,60.4919,0.0,0.0,2026-03-23T21:04:07.305Z
Kapalı Çarşı,İsviçre Frangı,56.9737,57.2593,-0.03,-0.017182944883465723,2026-03-23T21:01:11.469Z
Kapalı Çarşı,Japon Yeni,28.2855,28.4273,0.01,0.0028424457554230287,2026-03-23T21:01:52.539Z
Kapalı Çarşı,Suudi Arabistan Riyali,11.937,11.9968,0.0,0.0,2026-03-23T20:58:01.490Z
Kapalı Çarşı,BAE Dirhemi,12.1999,12.2611,0.0,0.0,2026-03-23T15:14:01.645Z
Kapalı Çarşı,Katar Riyali,12.2977,12.3593,0.0,0.0,2026-03-23T16:43:01.637Z
Kapalı Çarşı,Kuveyt Dinarı,146.2316,146.9646,0.0,0.0,2026-03-23T20:34:17.936Z
Kapalı Çarşı,Gürcistan Larisi,16.5056,16.5883,0.0,0.0,2026-03-23T17:33:10.801Z
